epoch,loss,val_loss
0,0.2963365316390991,0.27328693866729736
1,0.2769887149333954,0.2738057076931
2,0.2752351462841034,0.27530261874198914
3,0.27337807416915894,0.2706202566623688
4,0.2734745442867279,0.2746206820011139
5,0.2721653878688812,0.27063995599746704
6,0.27218326926231384,0.2743143141269684
7,0.27132460474967957,0.2683544158935547
8,0.27143415808677673,0.26820001006126404
9,0.27055081725120544,0.2726750671863556
10,0.2706174850463867,0.26751741766929626
11,0.2698499858379364,0.269499272108078
12,0.2694346308708191,0.27020740509033203
13,0.26967206597328186,0.26716724038124084
14,0.2691488564014435,0.2683298885822296
15,0.2688887119293213,0.2690896689891815
16,0.2686372995376587,0.26877355575561523
17,0.26870864629745483,0.2664831280708313
18,0.2691165804862976,0.26760992407798767
19,0.2673467695713043,0.2686721980571747
20,0.26750120520591736,0.2673967480659485
21,0.26738297939300537,0.26713159680366516
22,0.2666819989681244,0.2691934406757355
23,0.2636474072933197,0.2638455629348755
24,0.2630482017993927,0.26410460472106934
25,0.2628629207611084,0.2639250159263611
26,0.26249614357948303,0.26460281014442444
27,0.2624664008617401,0.26415374875068665
28,0.26217859983444214,0.2640818953514099
29,0.26124072074890137,0.26308977603912354
30,0.26099175214767456,0.26326999068260193
31,0.26091164350509644,0.2631455361843109
32,0.26086369156837463,0.26305803656578064
33,0.2607955038547516,0.263102263212204
34,0.26067182421684265,0.2630244493484497
35,0.2602212131023407,0.2629864811897278
36,0.26020145416259766,0.2631288766860962
37,0.2601918578147888,0.26309308409690857
38,0.26017382740974426,0.26307666301727295
39,0.26014095544815063,0.26294881105422974
40,0.2601061463356018,0.2629389464855194
41,0.2599780857563019,0.2629183232784271
42,0.2599501609802246,0.26290595531463623
43,0.2599498927593231,0.2629038095474243
44,0.2599363327026367,0.26291099190711975
45,0.25992879271507263,0.26290568709373474
46,0.2598782181739807,0.26290470361709595
47,0.25987568497657776,0.26290374994277954
48,0.2598720192909241,0.26290416717529297
49,0.25987038016319275,0.2628999948501587
50,0.25986820459365845,0.26290374994277954
51,0.2598513662815094,0.2629026472568512
52,0.2598508894443512,0.26290324330329895
53,0.25984954833984375,0.26290255784988403
54,0.25984907150268555,0.2629023790359497
55,0.2598481774330139,0.2629029154777527
56,0.25984254479408264,0.26290297508239746
57,0.25984251499176025,0.2629028856754303
58,0.25984230637550354,0.26290297508239746
59,0.259842187166214,0.2629029452800751
